"year","site","field","project","plot","subplot","uniqueID","carbon","nadd","ncess","fence","burn","rainfall","warm","species","abundance","unitAbund","scaleAbund"
"1982","cdr","A",2,1,"Whole","cdr_A_2_1_Whole","0",16,"0",1,"0","0","0","Achillea millefolium(lanulosa)",1.833,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,1,"Whole","cdr_A_2_1_Whole","0",16,"0",1,"0","0","0","Agropyron repens",110.533,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,1,"Whole","cdr_A_2_1_Whole","0",16,"0",1,"0","0","0","Ambrosia coronopifolia",163.333,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,1,"Whole","cdr_A_2_1_Whole","0",16,"0",1,"0","0","0","Euphorbia glyptosperma",0.117,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,1,"Whole","cdr_A_2_1_Whole","0",16,"0",1,"0","0","0","Polygonum convolvulus",23.467,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Agropyron repens",65.467,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Ambrosia coronopifolia",52.733,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Berteroa incana",37.9,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Euphorbia (supina)",0.573,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Mollugo verticillata",0.24,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Polygonum convolvulus",8.5,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,2,"Whole","cdr_A_2_2_Whole","0",0,"0",1,"0","0","0","Setaria lutescens",5.733,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Agropyron repens",31.933,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Ambrosia coronopifolia",155.333,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Berteroa incana",1.8,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Chenopodium album",0.4,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Euphorbia glyptosperma",14.033,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Mollugo verticillata",4,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Polygonum convolvulus",9.367,"biomass_g_m2","0.3m2"
"1982","cdr","A",2,3,"Whole","cdr_A_2_3_Whole","0",0,"0",1,"0","0","0","Setaria lutescens",0.05,"biomass_g_m2","0.3m2"
